City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ondjiva,-17.0667,15.7333,62.64,29,100,2.3,AO,1688064416
1,bethel,41.3712,-73.414,80.85,62,20,5.75,US,1688064209
2,blackmans bay,-43.0167,147.3167,50.13,74,63,15.66,AU,1688064417
3,grytviken,-54.2811,-36.5092,21.42,77,18,10.07,GS,1688064417
4,broome,42.2506,-75.833,81.01,57,100,5.75,US,1688064418
5,olonkinbyen,70.9221,-8.7187,42.39,97,70,12.64,SJ,1688064418
6,anadyr,64.75,177.4833,50.5,81,20,4.47,RU,1688064418
7,uturoa,-16.7333,-151.4333,80.53,74,2,21.16,PF,1688064419
8,waitangi,-43.9535,-176.5597,53.82,94,100,11.01,NZ,1688064419
9,melekeok village,7.4957,134.6367,75.76,94,100,0.0,PW,1688064419
10,salamanca,40.8333,-6.0,78.75,35,0,17.67,ES,1688064234
11,strelka,58.0728,93.0344,54.48,97,55,6.93,RU,1688064420
12,puerto natales,-51.7236,-72.4875,32.45,100,75,2.3,CL,1688064421
13,adamstown,-25.066,-130.1015,66.69,60,100,21.39,PN,1688064421
14,palmer,42.1584,-72.3287,78.67,63,75,3.44,US,1688064125
15,port saint john's,-31.6229,29.5448,61.93,56,6,8.28,ZA,1688064422
16,ribadesella,43.4614,-5.0596,61.95,83,100,10.74,ES,1688064423
17,port-aux-francais,-49.35,70.2167,35.62,71,93,31.83,TF,1688064425
18,nandigama,16.7833,80.3,87.96,64,100,5.82,IN,1688064425
19,meridian,43.6121,-116.3915,81.52,45,0,6.91,US,1688064426
20,borogontsy,62.6683,131.1683,66.58,97,77,4.88,RU,1688064426
21,walvis bay,-22.9575,14.5053,61.75,63,76,6.91,NA,1688064427
22,pisco,-13.7,-76.2167,69.85,68,4,10.36,PE,1688064428
23,isafjordur,66.0755,-23.124,44.64,81,100,11.5,IS,1688064428
24,st. john's,47.5649,-52.7093,82.15,73,75,14.97,CA,1688064214
25,hammerfest,70.6634,23.6821,55.85,67,0,11.5,NO,1688064429
26,mount pearl,47.5166,-52.7813,81.32,72,75,14.97,CA,1688064430
27,ushuaia,-54.8,-68.3,38.86,75,75,3.44,AR,1688064426
28,elliot lake,46.3834,-82.6331,73.99,42,9,11.05,CA,1688064430
29,pizarro,4.9533,-77.366,84.24,77,55,7.18,CO,1688064431
30,huarmey,-10.0681,-78.1522,75.56,66,0,11.7,PE,1688064431
31,sinop,41.7711,34.8709,59.94,92,92,2.06,TR,1688064432
32,avarua,-21.2078,-159.775,75.25,94,0,6.91,CK,1688064432
33,longyearbyen,78.2186,15.6401,42.64,87,75,10.36,SJ,1688064433
34,shahrak,34.1074,64.3052,57.09,41,0,3.67,AF,1688064433
35,sao raimundo das mangabeiras,-7.0219,-45.4811,96.55,23,34,6.51,BR,1688064434
36,qaqortoq,60.7167,-46.0333,45.72,72,68,17.72,GL,1688064434
37,kuanda,56.3161,116.0806,59.49,98,100,1.9,RU,1688064435
38,lusambo,-4.9667,23.45,72.63,85,100,2.33,CD,1688064435
39,levuka,50.1834,-105.4011,76.71,43,40,8.05,CA,1688064436
40,ndele,8.4109,20.6473,73.45,91,89,2.39,CF,1688064436
41,hailar,49.2,119.7,52.74,59,19,8.39,CN,1688064436
42,sungailiat,-1.85,106.1333,80.2,84,61,8.75,ID,1688064437
43,queenstown,-31.8976,26.8753,49.19,57,7,22.39,ZA,1688064437
44,labytnangi,66.6572,66.4183,46.83,65,42,6.8,RU,1688064438
45,puerto ayora,-0.7393,-90.3518,89.56,90,32,8.01,EC,1688064438
46,curuca,-0.7289,-47.8481,77.23,92,94,5.97,BR,1688064438
47,timimoun,29.2639,0.231,109.78,8,20,9.22,DZ,1688064439
48,afaahiti,-17.75,-149.2833,78.67,78,31,19.73,PF,1688064440
49,rio grande,-32.035,-52.0986,64.51,64,52,7.47,BR,1688064440
50,mulanje,-16.0316,35.5,63.05,52,0,3.4,MW,1688064441
51,edinburgh of the seven seas,-37.0676,-12.3116,61.14,86,100,34.52,SH,1688064441
52,west island,-12.1568,96.8225,78.78,57,40,11.5,CC,1688064441
53,tazovsky,67.4667,78.7,51.13,67,100,9.82,RU,1688064442
54,stanley,54.868,-1.6985,63.99,59,20,16.11,GB,1688064429
55,kapuskasing,49.4169,-82.4331,69.8,52,100,3.44,CA,1688064443
56,whitehorse,60.7161,-135.0538,65.01,36,40,16.11,CA,1688064215
57,college,64.8569,-147.8028,58.59,95,100,4.61,US,1688064443
58,chemax,20.65,-87.9333,97.34,37,73,5.77,MX,1688064444
59,ciudad lazaro cardenas,17.9583,-102.2,89.51,56,98,4.5,MX,1688064445
60,sao miguel do tapuio,-5.5036,-41.3233,93.99,30,75,8.08,BR,1688064445
61,yellowknife,62.456,-114.3525,77.56,44,75,6.91,CA,1688064446
62,tadmur,34.5608,38.2805,80.17,46,0,17.6,SY,1688064444
63,marovoay,-16.1,46.6333,73.2,60,39,6.17,MG,1688064447
64,suva,-18.1416,178.4415,62.08,100,20,4.61,FJ,1688064447
65,gizo,-8.103,156.8419,80.51,83,100,16.8,SB,1688064448
66,lebu,-37.6167,-73.65,54.21,71,100,3.76,CL,1688064449
